hub_name,beat_index,daily_beat,shipments,old_dailybeat,flag
Satellitehub_HJP,1.7,0.32,101.2,0.76,0
Satellitehub_CPR,1.9,0,56.1,0.63,0
SatelliteHub_FKSWN,2,0,68.1,0.72,0
Satellitehub_SAI,1.6,0.48,60,0,1
SatelliteHub_SWN,2.9,0,72.7,0.79,0
SatelliteHub_FKGPG,1.8,0.82,146.9,0.75,1
Satellitehub_FKMZP,1.3,0.78,209.8,0.56,1
SatelliteHub_SAMA,1.7,0.48,136.9,0.57,0
SATELLITEHUB_FKSMI,2.3,0.26,122.8,0.34,0
SATELLITEHUB_FKSLI,1.5,0,44.6,0,0
SatelliteHub_BET1,2.2,0.35,93.8,0.38,0
SatelliteHub_SLI,2.1,0.38,79.2,0,1
Satellitehub_FKDBG,1.9,0.39,164.1,0.47,0
Satellitehub_MADU,1.5,0,115.9,0.61,0
Satellitehub_FKBEGU,1.6,0.63,143.1,0.33,1
SatelliteHub_KGG,1.9,0,55.5,0,0
SATELLITEHUB_MDPR,1.9,0.62,54,0,1
Satellitehub_SPL1,,,0,,0
SATELLITEHUB_FKSHC,3.1,0.6,56.8,0.67,0
SatelliteHub_FKPRN2,2.1,0.39,166.9,0.4,0
SatelliteHub_KAT,2.1,0.5,65.9,0.6,0
SatelliteHub_FBG,1.7,0,20.1,0,0
